scenario	verdict	key_metric	detail
401	FAIL	Stored memory (ID 3517) saved with embedding but absent from all search result sets.	The local llama-cpp embedding provider fails on expanded queries due to context-size limits, and the search handler's FTS fallback erroneously reports "unavailable" despite direct FTS confirming the memory is indexed. Only constitutional memories surface, making paraphrase recall untestable in this degraded state.
402	FAIL	0/4 pairs achieved ≥60% Jaccard overlap; CocoIndex queries all failed or timed out.	Memory Pair A had 25% overlap (2/8) and Pair B had 0% overlap (0/10). CocoIndex pairs C and D produced zero hits due to tool errors and timeout. No CLEAN-UP section was present in the scenario document.
403	PASS	3/4 queries ranked implementation files in top-5 while paired READMEs were absent from top-10.	Queries B, C, and D placed implementation at ranks 1-5 with no competing docs in top-10. Query A was the inversion: embedding_resilience.md outranked factory.ts, though the expected README.md was also absent.
404	FAIL	0/3 CocoIndex query variants executed successfully due to MCP infrastructure failures	All three disambiguation queries (Memory MCP, Git, File-system) failed with errors including "Expected `object`, got `int`", "Input data was truncated", and request timeouts. The CocoIndex MCP tool was non-functional throughout the test window, preventing any verification of contextual disambiguation behavior. No clean-up section was present in the scenario file, and no side effects were generated by the failed queries.
405	FAIL	Metal GPU acceleration aspect entirely absent from inspectable top-5 results	CocoIndex top-5 covered Apple Silicon in one result and embedding-default in two, but Metal GPU acceleration was missing completely. Memory search returned only one inspectable result due to token-budget truncation, preventing top-5 verification. Only one multi-aspect result appeared across all inspectable results, failing the ≥2 threshold.
406	PARTIAL	Level-3 query ranked the exact source file #1; Level-1 failed to surface any README/overview documents.	The specificity ladder showed clear differentiation at the extreme, with Level-3 pinpointing the exact constant file. Level-1 returned reference docs and type definitions rather than high-level READMEs, and Level-2 returned test and source files instead of architecture docs.
407	PASS	Semantic target outranked lexical decoy in all 3 adversarial queries.	In Query C, `factory.ts` ranked #1 while the lexical decoy `embeddings-llama-cpp-factory.vitest.ts` ranked #3. In Queries A and B, the lexical decoys were suppressed so strongly they did not appear in the top-10 at all, confirming the embedding lane is functioning and semantic meaning dominates raw term overlap.
408	FAIL	0/4 expected constituent sources appear in top-10 results	The search returned six duplicate review shell scripts and three test/migration files, but none of the four expected implementation sources. The embedding provider circuit breaker is open (214 failed, 82 pending), and FTS/vector consistency is degraded, which likely prevents accurate ranking of the core source files needed for compound synthesis.
407	PARTIAL	Semantic ranking wins 3/3 adversarial queries, but MCP transport is down.	The `cocoindex_code_search` MCP tool failed repeatedly with timeouts and truncation errors, preventing execution via the prescribed path. CLI fallback confirmed the embedding-based ranker correctly places implementation files above lexical-decoy test files in all three queries, indicating the underlying semantic model is healthy but the MCP wrapper is not.
409	PARTIAL	6 of 10 samples surfaced in top-3; mean rank 2.0	Round-trip recall fell short of the 8/10 PASS threshold. Four memories failed to appear in top-3 under their own trigger phrases, suggesting embedding competition from siblings in the same spec folders. No cleanup required.
408	FAIL	0/4 expected constituent sources surfaced in top-10 (all missing: factory.ts, context-server.ts, llama-cpp.ts, 017 summary).	CocoIndex returned 6 duplicate review scripts and 4 test/migration files instead of the implementation sources needed for synthesis. The llama-cpp embedding provider is unhealthy (circuit breaker open, 214 failed embeddings), which may contribute to poor semantic ranking, though CocoIndex itself is reachable.
409	FAIL	4 of 10 sampled memories surfaced in top-3 under their own trigger phrases	Six memories failed round-trip recall, with four not found in search results at all and one ranked 4th. Generic trigger phrases like "graph" and "system-spec-kit" were particularly prone to retrieval failure, suggesting trigger-phrase specificity significantly impacts embedding round-trip quality. No cleanup was performed per section 5.
410	PARTIAL	p50=124ms/p95=138ms/p99=139ms for successful queries, but 30% workload failure rate due to open embedding circuit breaker	The local-LLM embedding provider circuit breaker opened under parallel load, causing 10 of 33 executed queries to fail with PIPELINE_STAGE1_FAILED errors. Successful queries met all three latency targets comfortably, but effective throughput fell well below the 5 qps target. Memory health confirms the llama-cpp provider is unhealthy with 214 failed embeddings and flapping circuit breaker behavior.
