path	kind	key_or_line	link_target	count	class	reason
/Users/michelkerkmeester/.gitconfig	core-hooks-path	core.hooksPath	/Users/michelkerkmeester/.config/git/hooks	1	expected	core.hooksPath names the global hook directory, which exists and holds the seven relinked hooks, rather than any checkout source root.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	git-path-hooks	rev-parse --git-path hooks	/Users/michelkerkmeester/.config/git/hooks	1	expected	git rev-parse --git-path hooks in the main checkout prints the global hook directory, so this row names no source root.
/Users/michelkerkmeester/worktrees/public/055-skilled-source-root-migration	git-path-hooks	rev-parse --git-path hooks	/Users/michelkerkmeester/.config/git/hooks	1	expected	git rev-parse --git-path hooks in this linked worktree prints the same global hook directory, so this row names no source root.
/Users/michelkerkmeester/.config/git/hooks/commit-msg	global-hook-link	commit-msg	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/commit-msg	resolves	expected	the commit-msg link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/.config/git/hooks/post-commit	global-hook-link	post-commit	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/post-commit	resolves	expected	the post-commit link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/.config/git/hooks/post-merge	global-hook-link	post-merge	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/post-merge	resolves	expected	the post-merge link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/.config/git/hooks/post-rewrite	global-hook-link	post-rewrite	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/post-rewrite	resolves	expected	the post-rewrite link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/.config/git/hooks/pre-commit	global-hook-link	pre-commit	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/pre-commit	resolves	expected	the pre-commit link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/.config/git/hooks/pre-push	global-hook-link	pre-push	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/pre-push	resolves	expected	the pre-push link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/.config/git/hooks/prepare-commit-msg	global-hook-link	prepare-commit-msg	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.skilled/scripts/git-hooks/prepare-commit-msg	resolves	expected	the prepare-commit-msg link resolves and its target already names the new root under the main checkout.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/install-git-hooks.sh	installer-status	exit=0	0	7	none	the installer status run through this old-root script path exited 0 with seven hooks, so the path still resolves through the .opencode link and nothing needs changing.
/Users/michelkerkmeester/.codex/hooks.json	installer-check	exit=0	install-codex-hooks: OK /Users/michelker	1	expected	the installer check prints install-codex-hooks: OK with exit 0 for this live config file, which names no source root.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	worktrees	git worktree list	-	29	expected	git worktree list reports 29 checkouts of the main directory, so this row names no source root.
/Users/michelkerkmeester/.codex/hooks.json	codex-hook-identities	entries=66	opencode=0;skilled=18	18	expected	the identity census of this live config reads 66 entries with 0 under .opencode and 18 under .skilled, so it already names the new root.
/Users/michelkerkmeester/.codex/config.toml	codex-config		line-numbers-only	0	expected	the old-root count over this live config is 0, with line numbers printed instead of values, so no old-root path remains.
/Users/michelkerkmeester/.codex/config.toml	codex-config-projects	project-headers	-	26	expected	the project-header count is 26, and the header I read at line 21 names the checkout's .skilled entry, so no source root of the old name is present.
/Users/michelkerkmeester/.hermes/config.yaml	hermes-config	17	mcp_servers.code_mode.args	1	none	line 17 holds the relative launcher argument .opencode/bin/mcp-code-mode-launcher.cjs, a path that still resolves through the checkout's .opencode link.
/Users/michelkerkmeester/.claude.json	claude-json	key-path-walk	recorded-prompt	1	record	the key-path walk finds one hit, a recorded first-prompt string, which is saved history rather than live configuration.
/Users/michelkerkmeester/.zshrc	zshrc	3,32	PATH-entries	2	expected	lines 3 and 32 add $HOME/.opencode/bin to PATH under an opencode comment, a home bin directory that is not this checkout's source root.
/Users/michelkerkmeester/.pi/agent/SYNC.md	pi-sync		-	0	expected	this manifest reads zero old-root mentions after its two path rewrites, so it names no old root.
/Users/michelkerkmeester/.pi/agent/trust.json	pi-trust	-	-	0 0	expected	this file reads zero old-root mentions in both counts and is keyed only to the main checkout path.
/Users/michelkerkmeester/.codex/prompts	codex-prompts	files=38	match-repo=0	38	record	the directory holds 38 stub files, none matching the repository's copies and none written by anything in the tree, so it is a saved record rather than live configuration.
/Users/michelkerkmeester	home-links	find -maxdepth 4 -type l	into-MAIN	14	expected	a depth-limited find under this home directory lists 14 symlinks resolving into the main checkout, an inventory that names no source root.
/Users/michelkerkmeester/Library/LaunchAgents	launch-agents	plists	-	0	expected	the plists in this directory read zero old-root mentions, so no source root is named.
crontab	crontab	-	-	0	expected	the crontab reads zero old-root mentions, so no source root is named.
/Users/michelkerkmeester/.zshenv	shell-profile	-	-	0 0	expected	this profile reads zero old-root mentions in both counts, so no source root is named.
/Users/michelkerkmeester/.bashrc	shell-profile	-	-	0 0	expected	this profile reads zero old-root mentions in both counts, so no source root is named.
/Users/michelkerkmeester/.profile	shell-profile	-	-	0 0	expected	this profile reads zero old-root mentions in both counts, so no source root is named.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.git/hooks	repo-hook-links	-	into-source-root	6	expected	this shadowed local hook directory holds six links into the source root, and the row names no root of its own.
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	repo-hooks-path	core.hooksPath	/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com/.git/hooks	1	expected	this repository sets core.hooksPath to its own .git/hooks directory, a repository-local value that names no source root.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	main-dirty-source-root	status --porcelain -- .opencode	-	0	none	git status scoped to the old-root path in the main checkout prints nothing, so the path resolves through the link and carries no pending change.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	main-dirty-tracked	status --porcelain	-	0	expected	a full git status in the main checkout prints nothing, a clean tree that names no source root.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	main-head	rev-parse HEAD	974d27e29b	1	expected	rev-parse HEAD in the main checkout returns this commit, a version pin that names no source root.
git	version	git-version-2.50.1-(Apple-Git-155)	-	1	expected	the git version row reports git-version-2.50.1 (Apple Git-155), naming no source root.
codex	version	codex-cli-0.154.0	-	1	expected	the codex version row reports codex-cli-0.154.0, naming no source root.
hermes	version	Hermes-Agent-v0.21.1-(2026.9.7)-·-upstream-dc90a75a Install-directory:-/Users/michelkerkmeester/.hermes/hermes-agent Install-method:-git Python:-3.11.13 OpenAI-SDK:-2.24.0 Update-available:-3169-commits-behind-—-run-'hermes-update'	-	1	expected	the hermes version row reports Hermes Agent v0.21.1 with its install directory, install method and Python version, naming no source root.
python3	version	Python-3.9.6	-	1	expected	the python3 version row reports Python 3.9.6, naming no source root.
