
PRIOR ITERATIONS FINDINGS (avoid duplicate flags — these are already covered):

--- iteration-001.md ---
| L-001-001 | P1 | correctness | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:113 | "`\| `.opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite` \| Default repo-local memory database used by the checked-in configs \|`" | confirmed-residue | Replace the fixed default DB row with the active profile filename contract: `context-index__<provider>__<safe-model>__<dim>__<dtype>.sqlite`. |
| L-001-002 | P1 | correctness | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:116 | "`local fallback stays on `context-index.sqlite`, while Voyage and OpenAI profiles get their own profile-specific filenames`" | confirmed-residue | Remove the local-fallback exception; hf-local, llama-cpp, OpenAI, and Voyage should all be documented as profile-keyed sqlite files. |
| L-001-003 | P1 | correctness | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:212 | "`- `onnxruntime-common` (ONNX model runtime)`" | confirmed-residue | Update the current dependency list so it no longer claims `onnxruntime-common` is a direct runtime dependency after the ONNX runtime backend rejection. |
| L-001-004 | P1 | correctness | .opencode/skills/system-spec-kit/references/memory/memory_system.md:25 | "`\| Database \| `mcp_server/dist/database/context-index.sqlite` \| SQLite with FTS5 + vector embeddings (canonical runtime path; `mcp_server/database/context-index.sqlite` is a compatibility symlink) \|`" | confirmed-residue | Rewrite the architecture row around the resolved active-profile DB path and keep singleton-path language only as legacy/compatibility context if still needed. |
| L-001-005 | P2 | correctness | .opencode/skills/system-spec-kit/scripts/evals/run-bm25-baseline.ts:10 | "`// Live production context-index.sqlite and record results in the`" | confirmed-residue | Refresh the eval script header to reference the active provider-keyed production DB resolved by the shared embedding profile helpers. |
| L-001-006 | P2 | correctness | .opencode/skills/system-spec-kit/mcp_server/lib/eval/ground-truth-generator.ts:100 | "`* IDs were mapped from the production context-index.sqlite DB via`" | confirmed-residue | Reword the comment to avoid teaching the singleton DB name; reference the production memory DB mapping script or active-profile DB generically. |
| L-001-007 | P2 | correctness | .opencode/skills/system-spec-kit/mcp_server/scripts/migrations/restore-checkpoint.ts:169 | "`${toTimestampId(now)}__pre-restore-context-index.sqlite`," | confirmed-residue | Use a neutral backup suffix such as `pre-restore-memory-db.sqlite`, or include the active profile key when naming restore backups. |

--- iteration-002.md ---
| L-002-001 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:82 | "`mcp_server/database/context-index.sqlite (memory)`" | confirmed-residue | Update the architecture diagram to describe the active profile-keyed memory DB filename contract. |
| L-002-002 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:120 | "`code-graph.sqlite` (auto-created on first `code_graph_scan`, stored alongside `context-index.sqlite`)" | confirmed-residue | Replace the singleton memory DB reference with "stored in the active memory DB directory" or the profile-keyed DB contract. |
| L-002-003 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:826 | "`sqlite3 .opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite \\`" | confirmed-residue | Change troubleshooting commands to resolve or substitute the active profile-keyed sqlite path before querying. |
| L-002-004 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:948 | "`sqlite3 .opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite \\`" | confirmed-residue | Refresh the empty-memory diagnostic block to use the resolved active profile DB path. |
| L-002-005 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:1019 | "`cp .opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite \\`" | confirmed-residue | Backup instructions should copy the active profile-keyed DB rather than the removed singleton filename. |
| L-002-006 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:1059 | "`.opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite`" | confirmed-residue | Restore instructions should target the same active profile DB path that was backed up. |
| L-002-007 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:1081 | "`.opencode/skills/system-spec-kit/mcp_server/database/context-index.sqlite` \\| Canonical database (runtime)" | confirmed-residue | Replace the resource-table row with the profile-keyed sqlite naming pattern and resolver source. |
| L-002-008 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:1113 | "`sqlite3 mcp_server/database/context-index.sqlite \\`" | confirmed-residue | Update the operational checklist's database inspection commands to require the resolved active profile DB. |
| L-002-009 | P1 | traceability | .opencode/skills/system-spec-kit/mcp_server/INSTALL_GUIDE.md:1138 | "`DB PATH:      mcp_server/database/context-index.sqlite`" | confirmed-residue | Replace the quick-reference DB path with `context-index__<provider>__<safe-model>__<dim>__<dtype>.sqlite`. |
| L-002-010 | P2 | traceability | .opencode/skills/system-spec-kit/feature_catalog/16--tooling-and-scripts/29-setup-native-module-health-and-mcp-installation.md:32 | "`optional `onnxruntime-node` and `sharp` installs`" | confirmed-residue | Remove the ONNX runtime probe from current setup-traceability docs, or mark it historical if the probe no longer applies post-014. |
