id	subsystem	category	path	status	verdict
0001	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/4-stage-pipeline-architecture.md	done	BLOCKED
0002	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/ast-level-section-retrieval-tool.md	done	PASS
0003	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/bm25-trigger-phrase-re-index-gate.md	done	FAIL
0004	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/bounded-graph-walk-rollout-and-diagnostics.md	done	FAIL
0005	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/context-recovery-and-continuation.md	done	PASS
0006	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/hybrid-search-pipeline.md	done	BLOCKED
0007	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/memory-search-command-routing.md	done	BLOCKED
0008	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/quality-aware-3-tier-search-fallback.md	done	PASS
0009	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/quick-search-memory-quick-search.md	done	BLOCKED
0010	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/semantic-and-lexical-search-memory-search.md	done	BLOCKED
0011	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/session-recovery-spec-kit-resume.md	done	BLOCKED
0012	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/session-transition-trace-contract.md	done	BLOCKED
0013	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/targeted-memory-lookup.md	done	BLOCKED
0014	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/tool-result-extraction-to-working-memory.md	done	BLOCKED
0015	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/trigger-phrase-matching-memory-match-triggers.md	done	FAIL
0016	spec-kit	01--retrieval	.opencode/skills/system-spec-kit/manual_testing_playbook/01--retrieval/unified-context-retrieval-memory-context.md	done	FAIL
0017	spec-kit	02--mutation	.opencode/skills/system-spec-kit/manual_testing_playbook/02--mutation/correction-tracking-with-undo.md	done	PASS
0018	spec-kit	02--mutation	.opencode/skills/system-spec-kit/manual_testing_playbook/02--mutation/feature-09-direct-manual-scenario-per-memory-history-log.md	done	BLOCKED
0019	spec-kit	02--mutation	.opencode/skills/system-spec-kit/manual_testing_playbook/02--mutation/memory-delete-confirm-schema-tightening.md	done	BLOCKED
0020	spec-kit	02--mutation	.opencode/skills/system-spec-kit/manual_testing_playbook/02--mutation/memory-indexing-memory-save.md	done	BLOCKED
0021	spec-kit	02--mutation	.opencode/skills/system-spec-kit/manual_testing_playbook/02--mutation/memory-metadata-update-memory-update.md	done	BLOCKED
