area	path	hit_lines	what_it_is	origin	needed_change	class	class_basis	note
runtime:claude	.claude/SYNC.md	21	documents the runtime's derivation contract	authored	rewrite: the manifest describes `.opencode`-as-source; post-move it must describe `.skilled` as source and `.opencode` as consumer	manual	both-lanes	
runtime:claude	.claude/agents/README.txt	2	documents the fork and its `.opencode/agents` sibling + crosswalk	authored	mechanical rewrite of the two refs	mechanical	both-lanes	
runtime:claude	.claude/agents/ai-council.md	18	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/code.md	7	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/context.md	7	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/debug.md	3	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/deep-improvement.md	6	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/deep-research.md	7	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/deep-review.md	13	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/design.md	13	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/markdown.md	23	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/orchestrate.md	9	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/prompt-improver.md	8	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/agents/review.md	3	forked agent body; `.opencode` refs are doc/command paths inside the body	authored fork — kept aligned to canonical agents by the pre-commit mirror gate	mechanical rewrite of body refs; the gate's upstream becomes `.skilled/agents	mechanical	both-lanes	
runtime:claude	.claude/hooks/README.md	5	documents the mirror surface	authored	mechanical rewrite of prose refs	mechanical	both-lanes	
runtime:claude	.claude/mcp.json	1	registers the code_mode MCP server — `args`/`command` execs `.opencode/bin/mcp-code-mode-launcher.cjs	authored	point the launcher arg at `.skilled/bin/mcp-code-mode-launcher.cjs` (or compat)	mechanical	both-lanes	
runtime:claude	.claude/settings.json	22	executes hooks — every `.opencode` ref sits in the generated `hooks` key command strings	authored file, generated `hooks` key — `sync-hook-registrations.cjs` from `hook-registry.json` `script` fields	regenerate the hooks key after the registry's script paths change (or keep `.opencode` via compat)	regenerate	both-lanes	
runtime:codex	.codex/AGENTS.md	3	runtime voice doc + generated Gate-1 pointer block	authored + generated block — `sync-gate1-pointers.cjs	rewrite authored refs; regenerate the Gate-1 block	regenerate	rule:generated	rebuilt by sync-gate1-pointers.cjs
runtime:codex	.codex/SYNC.md	24	documents the runtime's derivation contract	authored	rewrite: the manifest describes `.opencode`-as-source; post-move it must describe `.skilled` as source and `.opencode` as consumer	manual	both-lanes	
runtime:codex	.codex/agents/ai-council.toml	22	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/code.toml	15	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/context.toml	10	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/debug.toml	7	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/deep-improvement.toml	8	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/deep-research.toml	9	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/deep-review.toml	17	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/design.toml	15	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/markdown.toml	25	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/orchestrate.toml	29	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/prompt-improver.toml	10	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/agents/review.toml	8	generated TOML agent dialect; `.opencode` refs embed canonical paths as data	generated — `sync-agents.cjs	regenerate from the moved source (or compat)	regenerate	both-lanes	
runtime:codex	.codex/config.toml	1	registers the code_mode MCP server — `args`/`command` execs `.opencode/bin/mcp-code-mode-launcher.cjs	authored	point the launcher arg at `.skilled/bin/mcp-code-mode-launcher.cjs` (or compat)	mechanical	both-lanes	
runtime:codex	.codex/hooks.json	18	registers runtime hooks — `.opencode` refs are generated command strings	generated — `sync-hook-registrations.cjs` from `hook-registry.json	regenerate after registry `script` paths change (or compat)	regenerate	both-lanes	
runtime:codex	.codex/hooks/README.md	6	documents the mirror surface	authored	mechanical rewrite of prose refs	mechanical	both-lanes	
