GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=3 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/006-orchestrator-placeholder-parity
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/003-embedder-testing-and-architecture/004-code-index-stack/010-daemon-resilience
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=4 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/010-embedding-consolidation-hf-local-server/002-hf-model-server
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/005-validate-recursive-orchestrator-fix
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/010-embedding-consolidation-hf-local-server/001-nomic-only-consolidation
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/001-continuity-memory-runtime/010-memory-indexer-invariants
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/010-embedding-consolidation-hf-local-server/004-launcher-supervision
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/010-embedding-consolidation-hf-local-server/006-skill-advisor-shared-wiring
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/010-embedding-consolidation-hf-local-server/005-retire-sidecar
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=1 semi=1 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/002-server-liveness-supervision
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/010-embedding-consolidation-hf-local-server/003-hf-local-http-client
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=6 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/003-observability-model-switch
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/001-selector-and-shared-socket
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/005-live-validation-bench-hardening
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=6 semi=1 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/008-deep-review-correctness-edges
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=0 secs=7 date=1 leak=2 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/006-comment-ephemeral-pointer-cleanup
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=2 semi=3 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/004-perf-instrumentation-batching
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=6 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/007-ephemeral-pointer-guard-and-sweep
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=2 | 006-operator-tooling/004-runtime-agnostic-session-lifecycle-scripts
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 003-memory-and-causal-runtime/011-embedding-stack-hardening/009-single-writer-durability-cluster
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/014-infra-memory-db-and-graph-churn/001-daemon-lifecycle-healing
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/015-infra-followup-hardening/002-substrate-codegraph-scenarios
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 006-operator-tooling/005-worktree-per-session-automation
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=6 semi=0 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/015-infra-followup-hardening/001-live-two-launcher-test
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/015-infra-followup-hardening/006-sessionstart-worktree-guard
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/015-infra-followup-hardening/003-worktree-child-marker-dispatch
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=5 semi=0 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/015-infra-followup-hardening/004-cli-child-marker-propagation
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=6 semi=0 marker=1 secs=7 date=1 leak=0 | 007-mcp-daemon-reliability/015-infra-followup-hardening/005-substrate-codegraph-2nd-daemon
