GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/024-dfidf-cold-start-cache
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=5 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/015-mcp-server-mk-skill-advisor-rename
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/021-codegraph-rpc-surface
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/028-generated-js-declaration-alignment
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/027-typescript-header-normalization
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/030-any-type-justification-sweep
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=3 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/003-embedding-cache-cosine-wiring
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/007-hard-intent-corpus-resweep
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=3 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/005-advisor-setup-command
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/016-fix-deep-review-p2-findings-for-package-extraction
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/004-skill-advisor-production-hardening/003-advisor-standards-alignment
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/002-advisor-phrase-booster-tuning
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=7 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/004-advisor-hook-surface-integration
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/004-sk-doc-type-validation-alignment
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=2 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/002-fix-documentation-bugs
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=1 semi=5 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/002-mcp-native-scenarios
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/003-readme-problem-first-rewrite
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/002-scorer-p0-routing-fixes
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=2 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/005-cross-skill-documentation-decoupling
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=2 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/001-preconditions-and-build
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/005-opencode-bridge-native-route
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=9 semi=0 marker=2 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/001-template-level-consolidation-research
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/004-semantic-shadow-doc-sync
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/004-literal-spec-folder-names
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/004-fix-template-deferred-followups
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/003-manifest-template-implementation-plan
