hub	intended_mode	prompt	boundary_reason
sk-doc	sk-create-skill	I keep pasting the same five-step checklist into every agent conversation. Can you turn it into a reusable capability the team can invoke by name?	
sk-doc	sk-create-skill	How do I scaffold a brand-new package with its own instructions file, templates and a router, starting from nothing?	
sk-doc	sk-create-skill	We need a fresh reusable capability for logging coffee orders that any agent session can call up automatically when someone mentions ordering coffee.	
sk-doc	sk-create-skill	What goes into building a standalone capability package from scratch, versus just writing a one-off script?	
sk-doc	sk-create-skill	Can you build me a brand new OpenCode skill that formats JSON test fixtures before they get committed?	Boundary vs sk-code-opencode: 'OpenCode' plus JSON-formatting language pulls toward the system-code evidence surface, but the ask is to scaffold a new package from nothing, so sk-create-skill should win.
sk-doc	sk-create-skill-parent	We have four related skills that keep stepping on each other. Can you merge them under one router with a shared registry?	
sk-doc	sk-create-skill-parent	What's involved in setting up one hub that dispatches to several nested workflows depending on intent?	
sk-doc	sk-create-skill-parent	I want one identity that gets scored once by the advisor, then internally forwards to five different sub-workflows.	
sk-doc	sk-create-skill-parent	Our five overlapping packages need to become one umbrella package with mode-based dispatch instead of five separate lookups.	
sk-doc	sk-create-readme	Nobody on the team can figure out how to set this project up. Can you write the docs with proper install steps?	
sk-doc	sk-create-readme	Does this folder have documentation explaining what it does and how to run it?	
sk-doc	sk-create-readme	Draft a getting-started guide for this package, including a five-phase install walkthrough.	
sk-doc	sk-create-readme	Our repo's top-level docs are years out of date and don't mention the new build step. Can you refresh them?	
sk-doc	sk-create-agent	I need a new dedicated persona that only has read and grep access, for auditing PRs.	
sk-doc	sk-create-agent	How do I define a persona's permission boundaries and runtime placement so it can't write files it shouldn't?	
sk-doc	sk-create-agent	Set up a fresh subagent file with the right permission block for delegating review work.	
sk-doc	sk-create-agent	We want a narrowly scoped persona that can only run inside the mobile-cli folder and nowhere else.	
sk-doc	sk-create-command	Can you wire up a new shortcut with an argument hint and a thin router that calls out to the real logic?	
sk-doc	sk-create-command	I want users to type one shortcut and have it delegate to the right workflow, but the router file should stay presentation-only.	
sk-doc	sk-create-command	What tools do I declare as allowed for a brand-new shortcut file?	
sk-doc	sk-create-command	We need a typed entry point that takes a target argument and hands off to three different workflows depending on a flag.	
sk-doc	sk-create-feature-catalog	We need an inventory of everything this package can do, organized by category, with each capability getting its own page.	
sk-doc	sk-create-feature-catalog	Is there a structured index of what this thing supports somewhere, or do I have to build one from scratch?	
sk-doc	sk-create-feature-catalog	Build me a root index plus per-capability pages that cite exact source lines.	
sk-doc	sk-create-feature-catalog	Every time someone asks what this tool can actually do, I end up grepping the code. Can we have one page that lists it all?	
sk-doc	sk-create-manual-testing-playbook	Before we ship this release, I want a step-by-step script a human tester can follow with clear pass or fail checkpoints.	
sk-doc	sk-create-manual-testing-playbook	How do we plan a release-readiness pass that multiple people can run in parallel and log evidence for?	
sk-doc	sk-create-manual-testing-playbook	Write out deterministic scenarios for someone to click through by hand.	
sk-doc	sk-create-manual-testing-playbook	We keep shipping regressions that automated checks miss. Can you put together a hands-on verification pass before the next release?	
sk-doc	sk-create-benchmark	I ran the model comparison and now need a proper writeup with a source file and the scenario contract documented.	
sk-doc	sk-create-benchmark	What's the standard structure for writing up a behavior comparison so someone else can reproduce it?	
sk-doc	sk-create-benchmark	Draft the report layout and fixture folder structure for a new reviewer-prompt comparison.	
sk-doc	sk-create-benchmark	How should I document the scoring dimensions and fixtures I used so the next person doesn't have to guess?	
