filepath,skill,category,filename,paragraph_count,h3_count,needs_subheadings
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/01-unified-context-retrieval-memorycontext.md,system-spec-kit,01--retrieval,01-unified-context-retrieval-memorycontext.md,7,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/02-semantic-and-lexical-search-memorysearch.md,system-spec-kit,01--retrieval,02-semantic-and-lexical-search-memorysearch.md,7,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/03-trigger-phrase-matching-memorymatchtriggers.md,system-spec-kit,01--retrieval,03-trigger-phrase-matching-memorymatchtriggers.md,6,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/04-hybrid-search-pipeline.md,system-spec-kit,01--retrieval,04-hybrid-search-pipeline.md,6,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/05-4-stage-pipeline-architecture.md,system-spec-kit,01--retrieval,05-4-stage-pipeline-architecture.md,6,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/06-bm25-trigger-phrase-re-index-gate.md,system-spec-kit,01--retrieval,06-bm25-trigger-phrase-re-index-gate.md,2,0,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/07-ast-level-section-retrieval-tool.md,system-spec-kit,01--retrieval,07-ast-level-section-retrieval-tool.md,2,0,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/08-quality-aware-3-tier-search-fallback.md,system-spec-kit,01--retrieval,08-quality-aware-3-tier-search-fallback.md,2,0,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/09-tool-result-extraction-to-working-memory.md,system-spec-kit,01--retrieval,09-tool-result-extraction-to-working-memory.md,5,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/10-fast-delegated-search-memory-quick-search.md,system-spec-kit,01--retrieval,10-fast-delegated-search-memory-quick-search.md,4,0,true
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/11-session-recovery-spec-kit-resume.md,system-spec-kit,01--retrieval,11-session-recovery-spec-kit-resume.md,6,3,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/12-search-api-surface.md,system-spec-kit,01--retrieval,12-search-api-surface.md,3,0,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/13-session-transition-trace-contract.md,system-spec-kit,01--retrieval,13-session-transition-trace-contract.md,3,0,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/14-bounded-graph-diagnostics.md,system-spec-kit,01--retrieval,14-bounded-graph-diagnostics.md,3,0,false
.opencode/skills/system-spec-kit/feature_catalog/01--retrieval/15-memory-search-command-routing.md,system-spec-kit,01--retrieval,15-memory-search-command-routing.md,3,0,false
.opencode/skills/system-spec-kit/feature_catalog/02--mutation/01-memory-indexing-memorysave.md,system-spec-kit,02--mutation,01-memory-indexing-memorysave.md,19,7,false
.opencode/skills/system-spec-kit/feature_catalog/02--mutation/02-memory-metadata-update-memoryupdate.md,system-spec-kit,02--mutation,02-memory-metadata-update-memoryupdate.md,8,0,true
.opencode/skills/system-spec-kit/feature_catalog/02--mutation/03-single-and-folder-delete-memorydelete.md,system-spec-kit,02--mutation,03-single-and-folder-delete-memorydelete.md,3,0,false
.opencode/skills/system-spec-kit/feature_catalog/02--mutation/04-tier-based-bulk-deletion-memorybulkdelete.md,system-spec-kit,02--mutation,04-tier-based-bulk-deletion-memorybulkdelete.md,4,0,true
.opencode/skills/system-spec-kit/feature_catalog/02--mutation/05-validation-feedback-memoryvalidate.md,system-spec-kit,02--mutation,05-validation-feedback-memoryvalidate.md,7,0,true
.opencode/skills/system-spec-kit/feature_catalog/02--mutation/06-transaction-wrappers-on-mutation-handlers.md,system-spec-kit,02--mutation,06-transaction-wrappers-on-mutation-handlers.md,1,0,false
