id,source_run,source_path,source_locator,source_sha256,source_rank,source_iteration,original_recommendation,original_target,source_rationale,source_evidence,source_effort,source_impact,source_thread,source_mode,source_angle,source_uniqueness,taxonomy_layer,taxonomy_key,primary_rationale,disposition,disposition_rationale
DLR-A-001,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-001,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,1,,"**Multi-signal, path-covering termination** — fuse novelty with a quality/critic/execution gate; ensure the bound spans retries/handoffs/tool re-entry. *(convergence; contradictions #1,#2,#3)*",convergence,,,,,,,,,runtime-subsystem,convergence,The ranked source names convergence as the owning concern; the complete source wording remains preserved.,adopt-as-phase-011,"Phase 011 owns convergence, termination, and health."
DLR-A-002,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-002,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,2,,"**Side-effect-receipt resume contract** — per-event replay semantics + versioned replay-compatibility fingerprint on the JSONL projection. *(state; #4,#5,#6)*",state,,,,,,,,,runtime-subsystem,state-jsonl-checkpointing,The ranked source names state as the owning concern; the complete source wording remains preserved.,adopt-as-phase-006,Phase 006 owns transition-authorized ledger core.
DLR-A-003,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-003,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,3,,**Effective-independence for `deep-ai-council`** + 5-role evaluator separation (generator/detector/orchestrator/scorer/target). *(council/alignment; #10)*,council/alignment,,,,,,,,,research-workstream,deep-ai-council,The ranked source names council/alignment as the owning concern; the complete source wording remains preserved.,adopt-as-phase-013,Phase 013 owns per-mode and per-lane migrations.
DLR-A-004,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-004,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,4,,"**Conditional, budget-aware fan-in** + logical-branch-ID determinism + explicit partial-failure policy. *(fan-out; #7,#8,#9)*",fan-out,,,,,,,,,runtime-subsystem,fan-out-fan-in,The ranked source names fan-out as the owning concern; the complete source wording remains preserved.,adopt-as-phase-009,Phase 009 owns durable fan-out and fan-in orchestration.
DLR-A-005,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-005,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,5,,"**Cheap-checks-before-judges + regression-gated self-repair** for `deep-review`; keep raw pre-reduction scores. *(review; #11,#12)*",review,,,,,,,,,research-workstream,deep-review,The ranked source names review as the owning concern; the complete source wording remains preserved.,adopt-as-phase-013,Phase 013 owns per-mode and per-lane migrations.
DLR-A-006,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-006,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,6,,**Semantic-community novelty + contradiction-as-version** for dedup/continuity. *(dedup; drives divergent mode)*,dedup,,,,,,,,,runtime-subsystem,dedup-novelty,The ranked source names dedup as the owning concern; the complete source wording remains preserved.,adopt-as-phase-010,"Phase 010 owns novelty, claims, continuity, and projections."
DLR-A-007,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-007,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,7,,**Incremental stream-fold gauges** + immutable-record/attach-judgment-later observability.,observability,,,,,,,,,runtime-subsystem,gauges-observability,The ranked source names observability as the owning concern; the complete source wording remains preserved.,adopt-as-phase-007,Phase 007 owns shared evidence and control services.
DLR-A-008,run-a,.opencode/specs/system-deep-loop/036-deep-loop-innovation/001-deep-loop-market-research/research/research.md,run-a:section-17/rank-008,86b0e4a7a6702053149a4c06a3f607102edc58cb364d6493be5350bb10f14016,8,,"**Hierarchical typed budgets** enforced centrally, exhaustion as an explicit state transition.",budgets,,,,,,,,,runtime-subsystem,budget-cost,The ranked source names budgets as the owning concern; the complete source wording remains preserved.,adopt-as-phase-007,Phase 007 owns shared evidence and control services.
DLR-B-001,run-b,.opencode/specs/system-deep-loop/036-deep-loop-innovation/002-deep-loop-effectiveness-and-fanout/research/findings-registry.json,run-b:/recommendations/0,3557433baaebceaf53b01f21ca4ca02807c9f093c3f4285e3a6558c451f59912,,1,Add strict liveTools.webSearch with inherit|disabled|cached|live to executorConfigSchema and an executor-kind capability matrix; reject unsupported combinations before fan-out.,runtime/fan-out-automation,"This preserves portability and prevents arbitrary flags from bypassing sandbox, approval, and budget invariants.",https://developers.openai.com/codex/config-reference/,S,high,fan-out-automation,,,,runtime-subsystem,fan-out-fan-in,fan-out-fan-in leads the source target and owns the runtime change; compound targets remain preserved.,adopt-as-phase-005,Phase 005 owns fan-out live-tools compatibility.
DLR-B-002,run-b,.opencode/specs/system-deep-loop/036-deep-loop-innovation/002-deep-loop-effectiveness-and-fanout/research/findings-registry.json,run-b:/recommendations/1,3557433baaebceaf53b01f21ca4ca02807c9f093c3f4285e3a6558c451f59912,,1,"Refactor buildLineageCommand into executor adapters that return command, argv, input, effectiveConfig, and invocationFingerprint; compile Codex live search as ['--search','exec',...].",runtime/fan-out-automation,"The adapter becomes the single testable boundary for per-leaf model, effort, live tools, sandbox, and future executor-specific flags.",https://github.com/openai/codex/blob/main/codex-rs/cli/src/main.rs,M,high,fan-out-automation,,,,runtime-subsystem,fan-out-fan-in,fan-out-fan-in leads the source target and owns the runtime change; compound targets remain preserved.,adopt-as-phase-005,Phase 005 owns fan-out live-tools compatibility.
