
PRIOR ITERATIONS FINDINGS (avoid duplicate flags — these are already covered):

--- iteration-001.md ---
| L-001-001 | P1 | correctness | .opencode/skills/system-spec-kit/shared/embeddings.ts:769 | "case 'hf-local': default: return providerInfo.config.HF_EMBEDDINGS_MODEL \|\| DEFAULT_MODEL_NAME;" | confirmed-residue | Add an explicit `llama-cpp` branch in `detectConfiguredModelName()` returning `LLAMA_CPP_EMBEDDINGS_MODEL` or `unsloth/embeddinggemma-300m-GGUF`, so pre-initialization `MODEL_NAME` matches the canonical auto-selected local provider. |
| L-001-002 | P2 | correctness | .opencode/skills/system-spec-kit/shared/embeddings.ts:765 | "(process.env.VOYAGE_API_KEY ? 'voyage-4' : DEFAULT_MODEL_NAME);" | confirmed-residue | Make cloud provider model defaults provider-native regardless of key presence: `voyage` should default to `voyage-4` and `openai` to `text-embedding-3-small`; API-key validity should stay separate from model identity. |
| L-001-003 | P2 | correctness | .opencode/skills/system-spec-kit/scripts/tests/test-embeddings-behavioral.js:242 | "assertEqual(emb.MODEL_NAME, 'onnx-community/embeddinggemma-300m-ONNX', 'EB-003: MODEL_NAME is EmbeddingGemma default');" | confirmed-residue | Update this behavioral assertion to cover the canonical auto cascade: expect llama-cpp when the GGUF runtime is available, otherwise hf-local, and add a pre-init llama-cpp assertion to prevent L-001-001 from recurring. |

--- iteration-002.md ---
| L-002-001 | P1 | traceability | PUBLIC_RELEASE.md:25 | "context-index.sqlite" | confirmed-residue | Replace the singleton example with a provider-keyed placeholder such as `context-index__<provider>__<safe-model>__<dim>__<dtype>.sqlite` or a concrete llama-cpp default example. |
| L-002-002 | P1 | traceability | .opencode/skills/system-spec-kit/shared/README.md:207 | "│       └── speckit_memory.db   # Active shared SQLite database file" | confirmed-residue | Update the package tree to show generated provider-keyed `context-index__*.sqlite` files or omit active DB filenames entirely. |
| L-002-003 | P1 | traceability | .opencode/skills/system-spec-kit/shared/README.md:364 | "└── speckit_memory.db # Active shared SQLite database file" | confirmed-residue | Align the Per-Profile Databases section with `resolveActiveProfileDbPath` and the profile-keyed `context-index__...` naming contract. |
| L-002-004 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/embedding_resilience.md:23 | "| Voyage Provider | `shared/embeddings/providers/voyage.ts` | Primary embedding provider |" | confirmed-residue | Rework the architecture table to include `llama-cpp` and `hf-local`, and describe Voyage/OpenAI as cloud cascade entries rather than the only primary/secondary providers. |
| L-002-005 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/embedding_resilience.md:62 | "│ 3. LOCAL CACHE (Last Resort)                                      │" | confirmed-residue | Replace the fallback-order diagram with the canonical auto cascade: Voyage -> OpenAI -> llama-cpp -> hf-local, with keyword/cache degradation documented separately. |
| L-002-006 | P1 | traceability | .opencode/skills/system-spec-kit/references/memory/embedding_resilience.md:98 | "envKey: 'LLAMA_CPP_EMBEDDINGS_MODEL'," | confirmed-residue | Clarify that llama-cpp auto-selects when the GGUF runtime/model probe succeeds; `LLAMA_CPP_EMBEDDINGS_MODEL` is a model override, not an opt-in selector. |
| L-002-007 | P2 | traceability | .opencode/install_guides/README.md:567 | "Spec Kit Memory now supports three embedding backends:" | confirmed-residue | Fix the stale count to match the documented table and canonical provider set: llama-cpp, hf-local, Voyage, and OpenAI under `auto`. |
