alert_id,ts,source,src_ip,dst_ip,mitre_technique,technique_name,severity,asset_criticality,asset_class,status
ALT-009001,2026-05-20T19:15:00,Okta-IdP,10.255.210.226,141.245.31.23,T1486,Data Encrypted for Impact,P4,MED,K8S-NODE,TRIAGE
ALT-009002,2026-05-26T16:15:00,O365-AlertCenter,10.9.195.201,183.183.245.140,T1027,Obfuscated Files,P4,HIGH,DC-SERVER,CONTAINED
ALT-009003,2026-04-13T08:11:00,Email-Defender,10.163.112.8,208.143.29.208,T1059.001,PowerShell,P3,MED,LINUX-SVR,NEW
ALT-009004,2026-03-22T07:17:00,O365-AlertCenter,10.28.112.148,217.198.181.240,T1027,Obfuscated Files,P2,MED,LINUX-SVR,CONTAINED
ALT-009005,2026-04-26T23:44:00,O365-AlertCenter,10.14.180.243,146.72.96.215,T1566.001,Spearphishing Attachment,P4,HIGH,LINUX-SVR,BENIGN
ALT-009006,2026-03-03T01:14:00,Linux-Auditd,10.112.10.135,123.0.169.235,T1021.001,RDP,P2,MED,MAC-LAPTOP,CLOSED
ALT-009007,2026-03-26T10:03:00,Cloudtrail-AWS,10.75.72.199,29.186.37.96,T1059.001,PowerShell,P4,LOW,MAC-LAPTOP,ESCALATED
ALT-009008,2026-04-05T05:46:00,Linux-Auditd,10.249.162.45,182.182.114.171,T1041,Exfil over C2,P2,CRITICAL,MAC-LAPTOP,CLOSED
ALT-009009,2026-05-10T04:11:00,Linux-Auditd,10.200.16.47,155.162.113.164,T1059.001,PowerShell,P1,CRITICAL,LINUX-SVR,ESCALATED
ALT-009010,2026-05-03T07:22:00,Okta-IdP,10.85.45.211,182.171.228.3,T1566.001,Spearphishing Attachment,P2,MED,JUMPBOX,NEW
ALT-009011,2026-04-09T03:46:00,Email-Defender,10.24.197.113,188.214.85.227,T1059.001,PowerShell,P4,CRITICAL,MAC-LAPTOP,CONTAINED
ALT-009012,2026-04-04T15:50:00,Okta-IdP,10.115.83.116,19.17.150.6,T1021.001,RDP,P3,LOW,WIN-LAPTOP,ESCALATED
ALT-009013,2026-03-13T05:46:00,Cloudtrail-AWS,10.47.173.153,158.247.15.111,T1110,Brute Force,P2,CRITICAL,LINUX-SVR,NEW
ALT-009014,2026-03-11T06:12:00,Linux-Auditd,10.135.144.77,61.49.25.101,T1041,Exfil over C2,P4,MED,WIN-LAPTOP,ESCALATED
ALT-009015,2026-03-14T02:18:00,Okta-IdP,10.245.102.25,7.105.87.164,T1021.001,RDP,P1,CRITICAL,WIN-LAPTOP,ESCALATED
ALT-009016,2026-04-16T15:57:00,Email-Defender,10.46.198.48,95.195.189.48,T1486,Data Encrypted for Impact,P1,HIGH,K8S-NODE,BENIGN
ALT-009017,2026-04-08T08:36:00,O365-AlertCenter,10.77.49.22,172.176.211.249,T1059.001,PowerShell,P2,LOW,K8S-NODE,CONTAINED
ALT-009018,2026-04-18T21:55:00,Linux-Auditd,10.120.243.77,21.202.17.129,T1003,OS Credential Dumping,P2,LOW,K8S-NODE,TRIAGE
ALT-009019,2026-03-07T06:08:00,Cloudtrail-AWS,10.216.40.253,175.222.103.211,T1059.001,PowerShell,P2,HIGH,MAC-LAPTOP,CLOSED
ALT-009020,2026-03-03T12:35:00,Email-Defender,10.166.141.134,118.6.214.29,T1041,Exfil over C2,P2,MED,DC-SERVER,CONTAINED
ALT-009021,2026-05-25T03:59:00,Email-Defender,10.51.146.223,138.176.210.68,T1110,Brute Force,P4,CRITICAL,WIN-LAPTOP,TRIAGE
ALT-009022,2026-04-13T04:39:00,Email-Defender,10.205.19.102,85.121.25.191,T1021.001,RDP,P3,HIGH,WIN-LAPTOP,ESCALATED
ALT-009023,2026-04-10T08:53:00,Cloudtrail-AWS,10.50.116.35,77.226.164.69,T1003,OS Credential Dumping,P4,LOW,LINUX-SVR,BENIGN
ALT-009024,2026-03-27T13:47:00,Cloudtrail-AWS,10.191.28.132,203.81.33.80,T1003,OS Credential Dumping,P4,MED,DC-SERVER,CONTAINED
ALT-009025,2026-03-06T06:56:00,Firewall-Palo,10.29.127.9,117.25.184.181,T1190,Exploit Public-Facing App,P3,HIGH,K8S-NODE,CONTAINED
ALT-009026,2026-04-21T03:43:00,O365-AlertCenter,10.123.190.126,153.228.90.246,T1059.001,PowerShell,P4,HIGH,MAC-LAPTOP,TRIAGE
ALT-009027,2026-04-24T22:05:00,Firewall-Palo,10.14.197.13,42.109.113.166,T1486,Data Encrypted for Impact,P2,HIGH,JUMPBOX,BENIGN
ALT-009028,2026-05-01T21:00:00,Linux-Auditd,10.67.88.154,206.4.114.65,T1003,OS Credential Dumping,P3,HIGH,K8S-NODE,BENIGN
ALT-009029,2026-04-15T08:13:00,Cloudtrail-AWS,10.154.203.150,27.3.191.144,T1003,OS Credential Dumping,P3,HIGH,JUMPBOX,NEW
ALT-009030,2026-04-03T10:17:00,Linux-Auditd,10.141.133.168,183.152.96.39,T1566.001,Spearphishing Attachment,P2,LOW,DC-SERVER,BENIGN
ALT-009031,2026-05-11T21:08:00,EDR-Crowdstrike,10.254.151.67,108.207.198.189,T1059.001,PowerShell,P2,HIGH,JUMPBOX,CLOSED
ALT-009032,2026-03-22T17:40:00,Email-Defender,10.183.153.217,44.92.150.25,T1003,OS Credential Dumping,P2,HIGH,JUMPBOX,CONTAINED
ALT-009033,2026-03-22T10:41:00,Okta-IdP,10.113.181.58,191.157.215.202,T1110,Brute Force,P3,HIGH,DC-SERVER,ESCALATED
