MCP issues detected. Run /mcp list for status.Here is the READ-ONLY deep review of the `mcp_server/lib/eval/` subsystem. 

The evaluation framework is generally well-structured and uses pure functions effectively for metric computations. However, there are a few critical correctness bugs regarding how arrays are sorted prior to evaluation, a silently failing database state recovery mechanism, and mathematical edge cases in the trend reporting.

### `eval-metrics.ts`
| Severity | File:Line | Description | Suggested Fix |
| :--- | :--- | :--- | :--- |
| **P0** | `eval-metrics.ts:139` | **Incorrect top-K slicing bypasses ranking:** `computePrecision` and `computeF1` rely entirely on `results.slice(0, k)` without sorting the results first. All other metrics (MRR, NDCG, Recall) correctly use the `topK()` helper, which explicitly sorts by the `.rank` property before slicing. If the input array is not perfectly pre-sorted by rank, Precision and F1 compute against the wrong arbitrary elements. | Update `computePrecision` and `computeF1` signatures to accept `EvalResult[]` (aligning with the rest of the file) and replace `results.slice(0, k)` with `topK(results, k)`. |
| **P1** | `eval-metrics.ts:382` | **Inconsistent signatures cause excessive object allocation:** `computeAllMetrics` maps `results` into a new array `{ id: r.memoryId, ...r }` exclusively to satisfy the mismatched signature of `computePrecision`. This hides the sorting bug mentioned above and introduces unnecessary object allocations. | Standardize all metric functions to strictly accept `EvalResult[]` and `GroundTruthEntry[]`. |
| **P2** | `eval-metrics.ts:382` | **Redundant $O(N \log N)$ sorting and iteration:** `computeAllMetrics` invokes 11 separate metric functions. Most of these internally call `topK()` (re-sorting the array) and `buildRelevanceMap()` (re-iterating the ground truth). This causes a single query evaluation to sort arrays and build Maps 6-8 times. | Build the relevance map and sort the top K results exactly once inside `computeAllMetrics`, then pass these pre-computed structures into optimized/internal versions of the metric functions. |

### `eval-logger.ts`
| Severity | File:Line | Description | Suggested Fix |
| :--- | :--- | :--- | :--- |
| **P0** | `eval-logger.ts:43` | **Silently broken DB recovery (Issue #34 Regression):** `generateEvalRunId` tries to survive server restarts by fetching `MAX(eval_run_id)`. However, it calls `getEvalDb()`, which is designed to **throw an error** if the database hasn't been explicitly initialized. Because `logSearchQuery` calls `generateEvalRunId()` *before* `getDb()`, the DB is never ready on the first request. The `try/catch` silently swallows this error, keeping the counter at 0. This guarantees `eval_run_id` collisions after every server restart. | In `generateEvalRunId()`, change `const db = getEvalDb?.();` to `const db = getDb();` to safely guarantee database initialization before attempting to query the max ID. |

### `reporting-dashboard.ts`
| Severity | File:Line | Description | Suggested Fix |
| :--- | :--- | :--- | :--- |
| **P1** | `reporting-dashboard.ts:334` | **Nonsensical percentage changes on zero-baselines:** In `computeTrends`, if `previous === 0`, `percentChange` falls back to `current !== 0 ? 100 : 0`. If `current` is negative (e.g. an ablation delta regression), this erroneously reports a +100% *improvement*. | Update the zero-denominator fallback to respect the sign: `current > 0 ? 100 : (current < 0 ? -100 : 0)`. |
| **P1** | `reporting-dashboard.ts:383` | **Confusing trend semantics for lower-is-better metrics:** `buildSummary` uses `Math.abs(best.percentChange)` and applies hardcoded verbs like "gained" or "dropped". For a lower-is-better metric (like `latency_ms`), an increase from 0 to 50 results in "Largest regression: latency_ms dropped 100%". "Dropped" implies a decrease, confusing the reader regarding the actual system behavior. | Replace absolute magnitudes and "gained/dropped" strings with direction-agnostic semantic phrasing like "improved by X%" or "worsened by X%". |
| **P2** | `reporting-dashboard.ts:139` | **Data truncation via naive LIMITing:** `queryMetricSnapshots` attempts to fetch enough snapshots to group into the requested limit of sprints using the heuristic `LIMIT config.limit * 20`. If an eval run involves heavy channel ablation, a sprint might contain far more than 20 rows, causing silent truncation of the most recent sprint's aggregated data. | Query distinct `eval_run_id`s directly using a `LIMIT`, and then `SELECT ... WHERE eval_run_id IN (...)` to guarantee complete snapshot sets for the targeted runs. |

### `eval-db.ts`
| Severity | File:Line | Description | Suggested Fix |
| :--- | :--- | :--- | :--- |
| **P2** | `eval-db.ts:89` | **No schema migration strategy:** `initEvalDb` relies entirely on `CREATE TABLE IF NOT EXISTS`. If any future evaluation requirements necessitate adding a column (e.g. tracking token counts in `eval_metric_snapshots`), the database will silently ignore the new DDL, causing SQL insertion errors downstream. | Implement a basic `PRAGMA user_version` check combined with `ALTER TABLE` execution for schema upgrades. |

### `ablation-framework.ts`
| Severity | File:Line | Description | Suggested Fix |
| :--- | :--- | :--- | :--- |
| **P3** | `ablation-framework.ts:153` | **Suboptimal inner loop math:** `logBinomial` is recalculated entirely from scratch inside the loop within `signTestPValue`, making the exact binomial test $O(k^2)$ instead of $O(k)$. | Compute the log-binomial coefficient incrementally within the outer loop: $\log\binom{n}{i} = \log\binom{n}{i-1} + \log(n - i + 1) - \log(i)$. |
