"feature_id","subsystem","group","feature_name","catalog_anchor","stress_test_files","supplementary_stress_files","vitest_unit_files","manual_playbook_refs","stress_coverage_required","gap_classification","evidence"
"cg-001","code_graph","READ-PATH FRESHNESS","Ensure code graph ready",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/01--read-path-freshness/01-ensure-code-graph-ready.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/code-graph-degraded-sweep.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w7-degraded-empty.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w7-degraded-full-scan.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w7-degraded-stale.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w7-degraded-unavailable.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w10-degraded-readiness-integration.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-indexer.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-query-handler.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-context-handler.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/01--read-path-freshness/001-ensure-ready-selective-reindex.md","Y","none","Direct degraded sweep covers empty broad-stale crash and fresh readiness branches."
"cg-002","code_graph","READ-PATH FRESHNESS","Query self-heal",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/01--read-path-freshness/02-query-self-heal.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/code-graph-degraded-sweep.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w7-degraded-stale.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w10-degraded-readiness-integration.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-query-handler.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-siblings-readiness.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/01--read-path-freshness/002-query-self-heal-stale-file.md","Y","none","Direct query stress exercises fallbackDecision routing for degraded read states."
"cg-003","code_graph","MANUAL SCAN / VERIFY / STATUS","code_graph_scan",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/02--manual-scan-verify-status/01-code-graph-scan.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/walker-dos-caps.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w7-degraded-full-scan.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-scan.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-indexer.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/02--manual-scan-verify-status/003-code-graph-scan-incremental.md;.opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/02--manual-scan-verify-status/004-code-graph-scan-full.md","Y","P1","Direct stress covers walker caps but not full scan handler pressure or verify=true scan pressure."
"cg-004","code_graph","MANUAL SCAN / VERIFY / STATUS","code_graph_verify",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/02--manual-scan-verify-status/02-code-graph-verify.md","","",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-verify.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-scan.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/02--manual-scan-verify-status/005-code-graph-verify-blocked-on-stale.md","Maybe","P2","Verify is bounded manual diagnostics with unit and playbook coverage but no stress axis."
"cg-005","code_graph","MANUAL SCAN / VERIFY / STATUS","code_graph_status",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/02--manual-scan-verify-status/03-code-graph-status.md","","",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-siblings-readiness.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-ops-hardening.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/02--manual-scan-verify-status/006-code-graph-status-readonly.md","Maybe","P2","Status has degraded-state semantics but current coverage is unit/manual only."
"cg-006","code_graph","DETECT-CHANGES PREFLIGHT","detect_changes preflight",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/03--detect-changes/01-detect-changes-preflight.md","","",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/detect-changes.test.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/03--detect-changes/007-detect-changes-no-inline-index.md","Maybe","P2","The preflight path is bounded and has unit/manual coverage but no stress test for large diffs or stale refusal."
"cg-007","code_graph","CONTEXT RETRIEVAL","code_graph_context",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/04--context-retrieval/01-code-graph-context.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/budget-allocator-stress.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w10-degraded-readiness-integration.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/stress_test/session/gate-d-benchmark-session-resume.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-context-handler.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-seed-resolver.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/04--context-retrieval/008-code-graph-context-readiness-block.md","Y","P1","Stress covers budget allocation and degraded readiness indirectly but not full context handler pressure."
"cg-008","code_graph","CONTEXT RETRIEVAL","Context handler",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/04--context-retrieval/02-context-handler.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/budget-allocator-stress.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/stress_test/search-quality/w10-degraded-readiness-integration.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-context-handler.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/code_graph/tests/edge-metadata-sanitize.test.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/04--context-retrieval/008-code-graph-context-readiness-block.md","Y","P1","Handler deadlines and seed normalization are unit-covered while stress only exercises budget pressure."
"cg-009","code_graph","COVERAGE GRAPH","deep_loop_graph_query",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/05--coverage-graph/01-deep-loop-graph-query.md","","",".opencode/skill/system-spec-kit/mcp_server/tests/deep-loop-graph-query.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/coverage-graph-signals.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/05--coverage-graph/","Maybe","P2","Coverage query has live unit tests but no stress run over large or noisy graph namespaces."
"cg-010","code_graph","COVERAGE GRAPH","deep_loop_graph_status",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/05--coverage-graph/02-deep-loop-graph-status.md","","",".opencode/skill/system-spec-kit/mcp_server/tests/coverage-graph-status.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/deep-loop-graph-query.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/05--coverage-graph/","Maybe","P2","Status is bounded diagnostics with unit coverage and no stress-level namespace pressure."
"cg-011","code_graph","COVERAGE GRAPH","deep_loop_graph_upsert",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/05--coverage-graph/03-deep-loop-graph-upsert.md","","",".opencode/skill/system-spec-kit/mcp_server/tests/deep-loop-graph-query.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/graph-aware-stop.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/05--coverage-graph/010-deep-loop-graph-upsert-conditional.md","Maybe","P2","Upsert writes are conditional and unit-covered but lack batch-size or repeated-write stress."
"cg-012","code_graph","COVERAGE GRAPH","deep_loop_graph_convergence",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/05--coverage-graph/04-deep-loop-graph-convergence.md",".opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/deep-loop-graph-convergence-stress.vitest.ts","",".opencode/skill/system-spec-kit/mcp_server/tests/graph-aware-stop.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/coverage-graph-signals.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/05--coverage-graph/009-deep-loop-graph-convergence-yaml-fire.md","Y","none","Closed by packet 043: .opencode/skill/system-spec-kit/mcp_server/stress_test/code-graph/deep-loop-graph-convergence-stress.vitest.ts (was P0)"
"cg-013","code_graph","MCP TOOL SURFACE","Tool registrations",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/06--mcp-tool-surface/01-tool-registrations.md","","",".opencode/skill/system-spec-kit/mcp_server/tests/context-server.vitest.ts;.opencode/skill/system-spec-kit/mcp_server/tests/tool-input-schema.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/06--mcp-tool-surface/011-tool-call-shape-validation.md","N","none","Registration and schema dispatch are static contracts covered by unit tests and do not require stress."
"cg-014","code_graph","CCC INTEGRATION","ccc_reindex",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/07--ccc-integration/01-ccc-reindex.md","","",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-siblings-readiness.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/07--ccc-integration/012-ccc-reindex-binary-shell-out.md","Maybe","P2","CCC reindex shells out to an external indexer and is manual-only in current tests."
"cg-015","code_graph","CCC INTEGRATION","ccc_feedback",".opencode/skill/system-spec-kit/mcp_server/code_graph/feature_catalog/07--ccc-integration/02-ccc-feedback.md","","",".opencode/skill/system-spec-kit/mcp_server/code_graph/tests/code-graph-siblings-readiness.vitest.ts",".opencode/skill/system-spec-kit/mcp_server/code_graph/manual_testing_playbook/07--ccc-integration/013-ccc-feedback-jsonl-append.md","Maybe","P2","Feedback appends JSONL and has no repeated-write stress coverage."
