area	subarea	path	ext	hit_lines	md_fenced_lines	md_inline_lines	what_it_is	origin	needed_change	class	class_basis	note
ci	dependabot.yml	.github/dependabot.yml	yml	1			command/asset YAML naming `.opencode	authored config	mechanical rewrite	mechanical	both-lanes	
ci	workflows	.github/workflows/README.md	md	1	0	1	documentation (1 inline (prose))	authored doc	rewrite refs — fenced lines are runnable, inline are prose	mechanical	swe2 only	
ci	workflows	.github/workflows/advisory-checks.yml	yml	2			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/agent-mirror-sync.yml	yml	1			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/changed-packet-validation.yml	yml	7			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/chart-corpus.yml	yml	4			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/command-tree-parity.yml	yml	2			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/comment-hygiene.yml	yml	2			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/diagram-corpus.yml	yml	5			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/dispatch-enforcement-guard.yml	yml	3			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/markdown-link-integrity.yml	yml	4			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/naming-standard-guard.yml	yml	3			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
ci	workflows	.github/workflows/playbook-operator-contract.yml	yml	8			CI workflow — path filters/guard skips scope on `.opencode	authored CI	filters must see `.skilled` too, or guards skip silently	manual	rule:contract-or-ci	defines what .opencode means or scopes a gate on it; a blind rewrite changes behaviour or silences a check
