
PRIOR ITERATIONS FINDINGS (avoid duplicate flags — these are already covered):

--- iteration-001.md ---

--- iteration-002.md ---

--- iteration-003.md ---
| L-003-001 | P1 | maintainability | .opencode/skills/mcp-coco-index/mcp_server/pyproject.toml:51 | "Default install (`pip install -e .`) routes through LiteLLM (Voyage AI etc.) only." | confirmed-residue | Update the package metadata comments to match the shipped installer and docs: the default setup is local sentence-transformers EmbeddingGemma; LiteLLM/Voyage is an optional cloud path. |
| L-003-002 | P1 | maintainability | .opencode/skills/system-spec-kit/scripts/setup/install.sh:194 | "\"_NOTE_2_PROVIDERS\": \"Supports: Voyage (1024 dims), OpenAI (1536/3072 dims), HF Local (768 dims, no API needed)\"" | confirmed-residue | Add llama-cpp to the generated provider note and identify it as the default local provider when the GGUF runtime is installed. |
| L-003-003 | P2 | maintainability | .opencode/skills/system-spec-kit/scripts/setup/install.sh:274 | "- Multiple embedding providers (Voyage, OpenAI, local HF)" | confirmed-residue | Refresh the install help feature list so it names the full canonical provider set: Voyage, OpenAI, llama-cpp, and hf-local. |
| L-003-004 | P2 | maintainability | .opencode/skills/system-spec-kit/README.md:691 | "| llama-cpp         | 768        | Default on Apple Silicon. Q8_0 GGUF + Metal GPU. No setup.       |" | confirmed-residue | Rephrase to the canonical condition: llama-cpp is selected when the GGUF runtime/model probe succeeds; avoid implying Apple-Silicon-only behavior or unconditional no-setup availability. |
| L-003-005 | P2 | maintainability | .opencode/skills/system-spec-kit/shared/embeddings/providers/hf-local.ts:21 | "// NOTE: kept as the default (Nomic) prefix shape for backward-compatible consumers" | confirmed-residue | Rename/comment this as a legacy TASK_PREFIX compatibility export, not a default prefix/model signal; point future callers to the EmbeddingGemma registry path. |

--- iteration-004.md ---
| L-004-001 | P1 | correctness | .opencode/skills/system-spec-kit/shared/embeddings/providers/voyage.ts:338 | "provider: 'voyage'," | confirmed-residue | Add `dtype: 'cloud'` to `VoyageProvider.getProfile()` so initialized Voyage profiles keep the canonical provider/model/dim/dtype shape and cannot derive dtype-less cloud slugs. |
| L-004-002 | P1 | correctness | .opencode/skills/system-spec-kit/shared/embeddings/providers/openai.ts:308 | "provider: 'openai'," | confirmed-residue | Add `dtype: 'cloud'` to `OpenAIProvider.getProfile()` so initialized OpenAI profiles match the post-029 cloud filename contract. |
| L-004-003 | P1 | correctness | .opencode/skills/system-spec-kit/shared/types.ts:70 | "dtype?: HfLocalDtype \| null;" | confirmed-residue | Widen provider metadata dtype typing to include the synthetic cloud dtype, or introduce a shared `EmbeddingProfileDtype` union used by local and cloud providers. |
| L-004-004 | P1 | correctness | .opencode/skills/system-spec-kit/mcp_server/tests/local-llm-features/profile-db-filename.vitest.ts:66 | "expect(path.basename(dbPath)).toBe('context-index__voyage__voyage-4__1024.sqlite');" | confirmed-residue | Update the Voyage profile filename assertion to `context-index__voyage__voyage-4__1024__cloud.sqlite` and construct the test profile with `dtype: 'cloud'`. |
| L-004-005 | P1 | correctness | .opencode/skills/system-spec-kit/mcp_server/tests/local-llm-features/profile-db-filename.vitest.ts:72 | "expect(path.basename(dbPath)).toBe('context-index__openai__text-embedding-3-small__1536.sqlite');" | confirmed-residue | Update the OpenAI profile filename assertion to `context-index__openai__text-embedding-3-small__1536__cloud.sqlite` and construct the test profile with `dtype: 'cloud'`. |
