root	kind	name	target	state	class	reason
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	add	borrows AGENTS.md and CLAUDE.md from the main checkout and both name .skilled paths, so this root needs its own .skilled link too; the .opencode link stays and still resolves the root sentinel
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/301-loop-003-filter-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	keep	worktree of Obsidian Plugin and the census records no root file borrowed from the main checkout for this root, so the .opencode link stays as it is
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/292-loop-001-settings-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	keep	worktree of Obsidian Plugin and the census records no root file borrowed from the main checkout for this root, so the .opencode link stays as it is
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/307-loop-005-group-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	keep	worktree of Obsidian Plugin and the census records no root file borrowed from the main checkout for this root, so the .opencode link stays as it is
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/065-anytype-research	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	keep	worktree of Obsidian Plugin and the census records no root file borrowed from the main checkout for this root, so the .opencode link stays as it is
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/295-loop-002-properties-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	keep	worktree of Obsidian Plugin and the census records no root file borrowed from the main checkout for this root, so the .opencode link stays as it is
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin/.worktrees/305-loop-004-sort-sheet-visual-parity	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	keep	worktree of Obsidian Plugin and the census records no root file borrowed from the main checkout for this root, so the .opencode link stays as it is
/Users/michelkerkmeester/MEGA/Development/AI Systems	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	add	borrows .utcp_config.json from the main checkout, which names .skilled/bin/magicpath-utcp-manual.cjs, so this root needs its own .skilled link too; the .opencode link stays and still resolves the root sentinel
/Users/michelkerkmeester/MEGA/Development/Mobile CLI	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	add	borrows AGENTS.md and CLAUDE.md from the main checkout and both name .skilled paths, so this root needs its own .skilled link too; the .opencode link stays and still resolves the root sentinel
/Users/michelkerkmeester/MEGA/Development/Websites/anobel.com	consumer-link	.opencode	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode	sentinel-ok;absent;untracked;ignored	add	borrows AGENTS.md, CLAUDE.md, .mcp.json and .utcp_config.json from the main checkout and they name .skilled paths, so this root needs its own .skilled link too; its .opencode link and the local hook links chained through it keep resolving
/Users/michelkerkmeester/worktrees/public/055-skilled-source-root-migration	consumer-link	.opencode	.skilled	sentinel-ok;present;tracked;not-ignored	keep	the tracked relative compatibility link itself, so it stays as it is and resolves the real .skilled directory beside it
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin	root-file	AGENTS.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves	none	borrowed root file names .skilled paths after the landing, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/Obsidian Plugin	root-file	CLAUDE.md	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/AGENTS.md	resolves	none	borrowed root file names .skilled paths after the landing, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/AI Systems	root-file	.utcp_config.json	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.utcp_config.json	resolves	none	borrowed root file names .skilled/bin/magicpath-utcp-manual.cjs, which is what drives this root's add; the file itself belongs to the main checkout's tracked rewrite
/Users/michelkerkmeester/MEGA/Development/AI Systems	root-file	.mcp.json	.claude/mcp.json	resolves	none	points at a file inside the consumer repository rather than the main checkout, so the move touches nothing here
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/.spec-kit/code-graph/database/	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/bin/mk-code-index-launcher.cjs	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/bin/mk-skill-advisor-launcher.cjs	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/bin/mk-spec-memory-launcher.cjs	missing	none	path in a consumer-owned config in another repository, outside this phase's scope; already missing before the landing and reported rather than fixed
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/scripts/git-hooks/post-commit	resolves	none	path in a consumer-owned config in another repository, outside this phase's scope; resolves through this repository's own .opencode link and keeps resolving after the move
/Users/michelkerkmeester/MEGA/Development/AI Systems	owned-path	opencode.json	.opencode/skills	resolves	none	path in a consumer-owned config in another repository, outside this phase's scope; resolves through this repository's own .opencode link and keeps resolving after the move
