Shipment ID,Month,Order Date,Carrier,Mode,Origin Warehouse,Dest Region,Dest Country,Category,Units,Order Value,Freight Cost,Weight Kg,SLA Days,Transit Days,On Time,On Time Num,Damaged,Damaged Num,CO2 Kg
SHP-0001,2025-01,2025-01-02,BlueDart Express,Air,Guadalajara DC,EMEA,Germany,Apparel,229,32671,4520,1258,4,2,Yes,100,No,0,1359
SHP-0002,2025-01,2025-01-08,Meridian Freight,Sea,Guadalajara DC,EMEA,Germany,Industrial Parts,415,37214,232,1264,28,29,Yes,100,No,0,27
SHP-0003,2025-01,2025-01-20,Meridian Freight,Road,Singapore Hub,EMEA,Germany,Industrial Parts,266,23045,772,1779,7,8,Yes,100,No,0,288
SHP-0004,2025-01,2025-01-06,BlueDart Express,Air,Memphis DC,APAC,Japan,Perishables,389,77495,4212,1365,4,2,No,0,No,0,4259
SHP-0005,2025-01,2025-01-24,BlueDart Express,Road,Guadalajara DC,LATAM,Mexico,Electronics,410,29332,886,847,7,3,Yes,100,No,0,183
SHP-0006,2025-01,2025-01-30,Arctic Line,Sea,Rotterdam DC,EMEA,France,Industrial Parts,395,59303,444,3059,28,36,Yes,100,No,0,66
SHP-0007,2025-01,2025-01-22,TransGlobal,Sea,Memphis DC,Americas,Brazil,Perishables,400,47009,264,1230,28,27,Yes,100,No,0,53
SHP-0008,2025-01,2025-01-18,Meridian Freight,Road,Memphis DC,EMEA,United Arab Emirates,Perishables,374,25399,876,2117,7,7,Yes,100,No,0,343
SHP-0009,2025-01,2025-01-18,BlueDart Express,Road,Guadalajara DC,LATAM,Mexico,Perishables,260,8179,670,710,7,3,Yes,100,No,0,153
SHP-0010,2025-01,2025-01-06,Arctic Line,Rail,Gdansk DC,Americas,Brazil,Industrial Parts,40,2747,55,189,10,11,Yes,100,No,0,20
SHP-0011,2025-01,2025-01-26,Meridian Freight,Road,Gdansk DC,APAC,Japan,Industrial Parts,412,26128,488,1215,7,8,Yes,100,No,0,569
SHP-0012,2025-01,2025-01-20,Meridian Freight,Road,Singapore Hub,Americas,Canada,Electronics,146,26104,398,788,7,12,No,0,No,0,255
SHP-0013,2025-01,2025-01-02,BlueDart Express,Road,Singapore Hub,APAC,Japan,Apparel,475,53918,1590,1671,7,4,Yes,100,No,0,782
SHP-0014,2025-01,2025-01-13,TransGlobal,Air,Singapore Hub,LATAM,Mexico,Electronics,240,9970,2346,1291,4,4,Yes,100,No,0,1859
SHP-0015,2025-01,2025-01-19,TransGlobal,Rail,Singapore Hub,LATAM,Mexico,Apparel,311,55326,444,1201,10,8,Yes,100,No,0,86
SHP-0016,2025-01,2025-01-01,Meridian Freight,Sea,Guadalajara DC,EMEA,France,Apparel,432,55666,454,2603,28,32,Yes,100,No,0,56
SHP-0017,2025-01,2025-01-29,Arctic Line,Sea,Singapore Hub,Americas,Brazil,Apparel,262,45953,206,1225,28,37,Yes,100,No,0,53
