root	link	raw_target	target_kind	resolves_into_opencode	dangling	origin	class	target_if_opencode_compat_kept	target_if_no_compat	class_basis	note
.claude	.claude/.utcp_config.json	../.utcp_config.json	relative	no	no	hand-made	none	unchanged (target outside .opencode does not move)	unchanged (target outside .opencode does not move)	both-lanes	
.claude	.claude/commands/agent-router.md	../../.opencode/commands/agent-router.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../.opencode/commands/agent-router.md	../../.skilled/commands/agent-router.md	both-lanes	
.claude	.claude/commands/create/agent.md	../../../.opencode/commands/create/agent.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/agent.md	../../../.skilled/commands/create/agent.md	both-lanes	
.claude	.claude/commands/create/benchmark.md	../../../.opencode/commands/create/benchmark.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/benchmark.md	../../../.skilled/commands/create/benchmark.md	both-lanes	
.claude	.claude/commands/create/changelog.md	../../../.opencode/commands/create/changelog.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/changelog.md	../../../.skilled/commands/create/changelog.md	both-lanes	
.claude	.claude/commands/create/command.md	../../../.opencode/commands/create/command.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/command.md	../../../.skilled/commands/create/command.md	both-lanes	
.claude	.claude/commands/create/diff.md	../../../.opencode/commands/create/diff.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/diff.md	../../../.skilled/commands/create/diff.md	both-lanes	
.claude	.claude/commands/create/feature-catalog.md	../../../.opencode/commands/create/feature-catalog.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/feature-catalog.md	../../../.skilled/commands/create/feature-catalog.md	both-lanes	
.claude	.claude/commands/create/manual-testing-playbook.md	../../../.opencode/commands/create/manual-testing-playbook.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/manual-testing-playbook.md	../../../.skilled/commands/create/manual-testing-playbook.md	both-lanes	
.claude	.claude/commands/create/readme.md	../../../.opencode/commands/create/readme.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/readme.md	../../../.skilled/commands/create/readme.md	both-lanes	
.claude	.claude/commands/create/repo-rule.md	../../../.opencode/commands/create/repo-rule.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/repo-rule.md	../../../.skilled/commands/create/repo-rule.md	both-lanes	
.claude	.claude/commands/create/skill-parent.md	../../../.opencode/commands/create/skill-parent.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/skill-parent.md	../../../.skilled/commands/create/skill-parent.md	both-lanes	
.claude	.claude/commands/create/skill.md	../../../.opencode/commands/create/skill.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/skill.md	../../../.skilled/commands/create/skill.md	both-lanes	
.claude	.claude/commands/create/with-human-voice.md	../../../.opencode/commands/create/with-human-voice.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/create/with-human-voice.md	../../../.skilled/commands/create/with-human-voice.md	both-lanes	
.claude	.claude/commands/deep/agent-improvement.md	../../../.opencode/commands/deep/agent-improvement.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/deep/agent-improvement.md	../../../.skilled/commands/deep/agent-improvement.md	both-lanes	
.claude	.claude/commands/deep/ai-council.md	../../../.opencode/commands/deep/ai-council.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/deep/ai-council.md	../../../.skilled/commands/deep/ai-council.md	both-lanes	
.claude	.claude/commands/deep/model-benchmark.md	../../../.opencode/commands/deep/model-benchmark.md	relative	yes	no	generated — sync-runtime-mirrors.cjs tree `claude-commands	regenerate	../../../.opencode/commands/deep/model-benchmark.md	../../../.skilled/commands/deep/model-benchmark.md	both-lanes	
