path	kind	key_or_line	link_target	count	class	reason
/Users/michelkerkmeester/.gitconfig	core-hooks-path	core.hooksPath	/Users/michelkerkmeester/.config/git/hooks	1	manual	Hand-edited twice around the landing (flip to the bridge, flip back). The value names the global hooks directory, not a source root.
/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public	git-path-hooks	rev-parse --git-path hooks	/Users/michelkerkmeester/.config/git/hooks	1	none	Read-only check. The main checkout resolves hooks from the shared global directory. The value names no source-root path, so nothing to edit.
/Users/michelkerkmeester/worktrees/public/055-skilled-source-root-migration	git-path-hooks	rev-parse --git-path hooks	/Users/michelkerkmeester/.config/git/hooks	1	none	Read-only check. A linked worktree resolves the same global hooks directory. Recorded so the relink never runs from a worktree.
/Users/michelkerkmeester/.config/git/hooks/commit-msg	global-hook-link	commit-msg	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/commit-msg	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
/Users/michelkerkmeester/.config/git/hooks/post-commit	global-hook-link	post-commit	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/post-commit	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
/Users/michelkerkmeester/.config/git/hooks/post-merge	global-hook-link	post-merge	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/post-merge	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
/Users/michelkerkmeester/.config/git/hooks/post-rewrite	global-hook-link	post-rewrite	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/post-rewrite	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
/Users/michelkerkmeester/.config/git/hooks/pre-commit	global-hook-link	pre-commit	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/pre-commit	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
/Users/michelkerkmeester/.config/git/hooks/pre-push	global-hook-link	pre-push	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/pre-push	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
/Users/michelkerkmeester/.config/git/hooks/prepare-commit-msg	global-hook-link	prepare-commit-msg	/Users/michelkerkmeester/MEGA/Development/Code_Environment/Public/.opencode/scripts/git-hooks/prepare-commit-msg	resolves	installer	Absolute link into the main checkout's source-root hook scripts. It still resolves through the retained `.opencode` link, so the move does not break it. Installer-owned, relinked from the main checkout only, never hand-edited.
